Transcript_ID	Locus_ID	Description	RAP-DB Gene Symbol Synonym(s)	RAP-DB Gene Name Synonym(s)	CGSNL Gene Symbol	CGSNL Gene Name	Oryzabase Gene Symbol Synonym(s)	Oryzabase Gene Name Synonym(s)	GO	InterPro	Transcript evidence	ORF evidence	Curation Date	Literature PMID	FLcDNA clone ID	Oryzabase Trait Gene ID
Os03t0324800-01	Os03g0324800	Conserved hypothetical protein.									AK059868 (DDBJ, Best hit), AK071431 (DDBJ, Best hit)	XP_002465337.1 (RefSeq)			006-207-E07, J023091M20	
Os03t0324900-01	Os03g0324900	Zinc finger, RING/FYVE/PHD-type domain containing protein.							Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)	Zinc finger, RING-type (IPR001841), Zinc finger, RING/FYVE/PHD-type (IPR013083), Zinc finger, C3HC4 RING-type (IPR018957)	AK068144 (DDBJ, Best hit)	NP_001149943.1 (RefSeq)			J013135G08	
Os03t0325000-00	Os03g0325000	Similar to Pyruvate kinase.							Biological Process: glycolysis (GO:0006096), Molecular Function: magnesium ion binding (GO:0000287), Molecular Function: catalytic activity (GO:0003824), Molecular Function: pyruvate kinase activity (GO:0004743), Molecular Function: potassium ion binding (GO:0030955)	Pyruvate kinase (IPR001697), Pyruvate kinase-like, insert domain (IPR011037), Pyruvate kinase, barrel (IPR015793), Pyruvate kinase, alpha/beta (IPR015794), Pyruvate kinase, C-terminal (IPR015795), Pyruvate kinase, beta-barrel insert domain (IPR015806), Pyruvate/Phosphoenolpyruvate kinase (IPR015813), Pyruvate kinase, active site (IPR018209)	ab initio prediction	B9F878 (UniProt)				
Os03t0325133-00	Os03g0325133	Conserved hypothetical protein.									CU861799 (DDBJ, Best hit)	F2CUL4 (UniProt)				
Os03t0325400-01	Os03g0325400	Hypothetical gene.									AK064647 (DDBJ, Best hit)	GeneMark			002-114-D05	
Os03t0325500-01	Os03g0325500	Similar to Phosphate starvation regulator protein (Regulatory protein of P- starvation acclimation response Psr1).			DLN85	DLN REPRESSOR 85	OsDLN85, OsDLN85a, OsDLN85b, DLN85a, DLN85b	DLN repressor 85, DLN motif protein 85	Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515)	Myb-like DNA-binding domain, SHAQKYF class (IPR006447), Homeodomain-like (IPR009057), Homeodomain-related (IPR012287), Myb, DNA-binding (IPR014778), Transcription regulator HTH, Myb-type, DNA-binding (IPR017930)	AK100282 (DDBJ, Best hit)	A2XG76 (UniProt)			J023074M06	23182
Os03t0325500-02	Os03g0325500	Hypothetical conserved gene.			DLN85	DLN REPRESSOR 85	OsDLN85, OsDLN85a, OsDLN85b, DLN85a, DLN85b	DLN repressor 85, DLN motif protein 85			AK063005 (DDBJ, Best hit)	A2XG76 (UniProt)			001-109-H10	23182
Os03t0325600-01	Os03g0325600	Similar to WUSCHEL-related homeobox 6.			WOX6	WUSCHEL-LIKE HOMEOBOX 6	OsWOX6, Os WOX6, OsWOX12B, WOX12B	WUSCHEL-related homeobox 6	Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: protein binding (GO:0005515), Molecular Function: sequence-specific DNA binding (GO:0043565)	Homeobox (IPR001356), Homeodomain-like (IPR009057), Homeodomain-related (IPR012287)	AK111000 (DDBJ, Best hit)	Q10M29 (UniProt)			002-174-E11	13223
Os03t0325600-02	Os03g0325600	Homeodomain-like containing protein.			WOX6	WUSCHEL-LIKE HOMEOBOX 6	OsWOX6, Os WOX6, OsWOX12B, WOX12B	WUSCHEL-related homeobox 6	Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: protein binding (GO:0005515), Molecular Function: sequence-specific DNA binding (GO:0043565)	Homeobox (IPR001356), Homeodomain-like (IPR009057), Homeodomain-related (IPR012287)	AK063262 (DDBJ, Best hit)	Q10M29 (UniProt)			001-113-A08	13223
Os03t0325900-00	Os03g0325900	Ricin B lectin domain containing protein.								Ricin B lectin (IPR000772), Ricin B-related lectin (IPR008997)	ab initio prediction	B8ANG3 (UniProt)				
Os03t0326000-01	Os03g0326000	Phospholipid-transporting ATPase 1 (EC 3.6.3.1) (Aminophospholipid flippase 1).									AK059185 (DDBJ, Best hit)	XP_002315406.1 (RefSeq)			001-023-G08	
Os03t0326100-01	Os03g0326100	Phospholipid-transporting ATPase 1 (EC 3.6.3.1) (Aminophospholipid flippase 1).							Biological Process: phospholipid transport (GO:0015914), Cellular Component: integral to membrane (GO:0016021), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: magnesium ion binding (GO:0000287), Molecular Function: phospholipid-translocating ATPase activity (GO:0004012), Molecular Function: ATP binding (GO:0005524), Molecular Function: metal ion binding (GO:0046872)	ATPase, P-type, phospholipid-translocating, flippase (IPR006539), ATPase, P-type, ATPase-associated domain (IPR008250), ATPase, P-type phosphorylation site (IPR018303), HAD-like domain (IPR023214), ATPase, P-type, cytoplasmic domain N (IPR023299), ATPase,  P-type, cytoplasmic transduction domain A (IPR023300)	AK111237 (DDBJ, Best hit)	NP_568146.1 (RefSeq)			002-179-G01	
Os03t0326200-01	Os03g0326200	Similar to aminophospholipid ATPase.							Biological Process: phospholipid transport (GO:0015914), Cellular Component: integral to membrane (GO:0016021), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: magnesium ion binding (GO:0000287), Molecular Function: phospholipid-translocating ATPase activity (GO:0004012), Molecular Function: ATP binding (GO:0005524), Molecular Function: metal ion binding (GO:0046872)	ATPase, P-type, phospholipid-translocating, flippase (IPR006539), ATPase, P-type, ATPase-associated domain (IPR008250), ATPase, P-type phosphorylation site (IPR018303), HAD-like domain (IPR023214), ATPase, P-type, cytoplasmic domain N (IPR023299), ATPase,  P-type, cytoplasmic transduction domain A (IPR023300)	AK108821 (DDBJ, Best hit)	XP_002311928.1 (RefSeq)			002-151-F01	
Os03t0326200-02	Os03g0326200	Similar to aminophospholipid ATPase.							Biological Process: phospholipid transport (GO:0015914), Cellular Component: integral to membrane (GO:0016021), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: magnesium ion binding (GO:0000287), Molecular Function: phospholipid-translocating ATPase activity (GO:0004012), Molecular Function: ATP binding (GO:0005524), Molecular Function: metal ion binding (GO:0046872)	ATPase, P-type, phospholipid-translocating, flippase (IPR006539), ATPase, P-type, ATPase-associated domain (IPR008250), ATPase, P-type phosphorylation site (IPR018303), HAD-like domain (IPR023214), ATPase, P-type, cytoplasmic domain N (IPR023299), ATPase,  P-type, cytoplasmic transduction domain A (IPR023300)	AK099837 (DDBJ, Best hit)	XP_002311928.1 (RefSeq)			J013106L05	
Os03t0326300-01	Os03g0326300	Zinc finger, RING-type domain containing protein.					OsRFP	RING finger protein	Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)	Zinc finger, RING-type (IPR001841), Zinc finger, RING/FYVE/PHD-type (IPR013083)	AK066058 (DDBJ, Best hit)	B9F883 (UniProt)			J013050C14	21150
Os03t0326300-02	Os03g0326300	Hypothetical conserved gene.					OsRFP	RING finger protein			AK067657 (DDBJ, Best hit)	B9F883 (UniProt)			J013115O15	21150
Os03t0326300-03	Os03g0326300	Hypothetical conserved gene.					OsRFP	RING finger protein	Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)	Zinc finger, RING-type (IPR001841), Zinc finger, RING/FYVE/PHD-type (IPR013083)	AK060759 (DDBJ, Best hit)	B9F883 (UniProt)			001-032-H11	21150
Os03t0326350-00	Os03g0326350	Hypothetical gene.									BT084335 (DDBJ)	longestORF				
Os03t0326500-01	Os03g0326500	Similar to Thioredoxin-like 1.							Biological Process: glycerol ether metabolic process (GO:0006662), Biological Process: cell redox homeostasis (GO:0045454), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: protein disulfide oxidoreductase activity (GO:0015035)	Thioredoxin (IPR005746)	AK058426 (DDBJ, Best hit)	B6U6B7 (UniProt)			001-015-E02	
Os03t0326600-01	Os03g0326600	Nucleotide-binding, alpha-beta plait domain containing protein.							Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676)	RNA recognition motif domain (IPR000504), Nucleotide-binding, alpha-beta plait (IPR012677)	AK107632 (DDBJ, Best hit)	NP_172394.1 (RefSeq)			002-131-E05	
Os03t0327100-01	Os03g0327100	Similar to CUC1.			CUC1	CUP SHAPED COTYLEDON 1	ONAC039, ONAC39, NAC39, OsCUC1, DLN86, OsDLN86	NAC domain-containing protein 039, NAC domain-containing protein 39, CUP SHAPED COTYLEDON1, DLN repressor 86, DLN motif protein 86	Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677)	No apical meristem (NAM) protein (IPR003441)	AK065989 (DDBJ, Best hit)	NP_001147731.1 (RefSeq)			J013046E14	11479
Os03t0327600-01	Os03g0327600	D-type euonymus-related lectin (EUL), "Response to salt and drought stress, hormone treatment",  Response to biotic treatment	OsEULD1b	Euonymus lectin D1b	EULD1B	EUL-RELATED LECTIN D1B	OsEULD1b, EULD1b	EUL-related lectin D1b		Ricin B-like lectins (IPR035992)	AK069815	Q10M12	March 27, 2020	32194594	J023031K10	23522
Os03t0327700-01	Os03g0327700	Similar to H0716A07.9 protein.									AK120305 (DDBJ, Best hit)	Q01MR4 (UniProt)			J013052N11	
Os03t0327751-00	Os03g0327751	Conserved hypothetical protein.									ab initio prediction	Q8H7M2 (UniProt)				
Os03t0327800-01	Os03g0327800	NAC Family transcriptional activator, Abiotic stress response, Positive regulator of leaf senescence	NAC58, OsNAP, ONAC058, ONAC58, PS1	NAC DOMAIN-CONTAINING PROTEIN 58, NAC Family Transcription Factor OsNAP, NAC domain-containing protein 058, NAC domain-containing protein 58, prematurely senile 1	NAC58	NAC DOMAIN-CONTAINING PROTEIN 58	OsNAP, NAP, ONAC058, ONAC58, Os PS1, PS1, OsCTb1, CTb1	NAC Family Transcription Factor OsNAP, NAC domain-containing protein 058, NAC domain-containing protein 58, prematurely senile 1	Biological Process: regulation of transcription, DNA-templated (GO:0006355), Molecular Function: DNA binding (GO:0003677)	NAC domain (IPR003441)	AK243514	Q8H7M1	November 20, 2014	24399239, 24028154	J100075D15	15000
Os03t0328000-01	Os03g0328000	DOCK family guanine nucleotide exchange factor, R protein Pit-mediated disease resistance	OsSPK1		SPK1	SPIKE 1	OsSPK1			Armadillo-type fold (IPR016024), DHR-1 domain (IPR027007), Dedicator of cytokinesis, C-terminal (IPR010703), DHR-2 domain (IPR027357)	AK059469 (truncated), XM_015775852, Inferred from literature	XP_015631338	July 28, 2021	30446614	001-028-D11 (truncated)	22840
Os03t0328100-01	Os03g0328100	Similar to Axi 1 (Auxin-independent growth promoter)-like protein.								GDP-fucose protein O-fucosyltransferase (IPR019378), O-fucosyltransferase, plant (IPR024709)	AK107122 (DDBJ, Best hit)	Q9LMF6 (UniProt)			002-124-B06	
Os03t0328300-01	Os03g0328300	Hypothetical conserved gene.							Biological Process: transport (GO:0006810), Cellular Component: integral to membrane (GO:0016021)	GOLD (IPR009038)	AK241210 (DDBJ, Best hit)	Q8H7L7 (UniProt)			J065122M08	
Os03t0328400-00	Os03g0328400	Similar to Apyrase GS50 (Fragment).							Molecular Function: hydrolase activity (GO:0016787)	Nucleoside phosphatase GDA1/CD39 (IPR000407)	AF358764 (DDBJ, Best hit)	D3Y1I0 (UniProt)				
Os03t0328450-00	Os03g0328450	Non-protein coding transcript.									BT017220 (DDBJ)	NONE				
Os03t0328501-00	Os03g0328501	Similar to OSIGBa0103O01.10 protein.								Protein of unknown function DUF642 (IPR006946)	AK363213 (DDBJ)	A0B9Z0 (UniProt)				
Os03t0328600-00	Os03g0328600	Hypothetical protein.									EU949280 (DDBJ)	longestORF				
Os03t0328900-01	Os03g0328900	Similar to cDNA clone:J033099F01, full insert sequence.			C3H22	ZINC FINGER CCCH DOMAIN-CONTAINING PROTEIN 22	OsC3H22	Zinc finger CCCH domain-containing protein 22	Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: zinc ion binding (GO:0008270)	RNA recognition motif domain (IPR000504), Zinc finger, CCCH-type (IPR000571), Nucleotide-binding, alpha-beta plait (IPR012677)	AK288601 (DDBJ, Best hit)	B7ETE2 (UniProt)			J090052G18	8586
Os03t0328900-02	Os03g0328900	Nucleotide-binding, alpha-beta plait domain containing protein.			C3H22	ZINC FINGER CCCH DOMAIN-CONTAINING PROTEIN 22	OsC3H22	Zinc finger CCCH domain-containing protein 22	Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: zinc ion binding (GO:0008270)	RNA recognition motif domain (IPR000504), Zinc finger, CCCH-type (IPR000571), Nucleotide-binding, alpha-beta plait (IPR012677)	AK102616 (DDBJ, Best hit)	B7F3U2 (UniProt)			J033099F01	8586
Os03t0329200-01	Os03g0329200	Nucleotide-binding, alpha-beta plait domain containing protein.			C3H23	ZINC FINGER CCCH DOMAIN-CONTAINING PROTEIN 23	OsC3H23	Zinc finger CCCH domain-containing protein 23	Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: zinc ion binding (GO:0008270)	RNA recognition motif domain (IPR000504), Zinc finger, CCCH-type (IPR000571), Nucleotide-binding, alpha-beta plait (IPR012677)	AK102918 (DDBJ, Best hit)	B7ETE2 (UniProt)			J033114B10	8587
Os03t0329200-02	Os03g0329200	Similar to cDNA clone:J013002B05, full insert sequence.			C3H23	ZINC FINGER CCCH DOMAIN-CONTAINING PROTEIN 23	OsC3H23	Zinc finger CCCH domain-containing protein 23			AK064318 (DDBJ, Best hit)	B7F3U2 (UniProt)			002-107-D03	8587
Os03t0329500-01	Os03g0329500	Similar to Endo-1, 4-beta-glucanase (EC 3.2.1.4).			CEL9D	CELLULASE 9D	OsCel9D, Cel9D, OsGLU1, OsGH9A1, GH9A1	Endoglucanase 9, Endo-1, 4-beta glucanase 9, glycoside hydrolase OsGH9A1, glycoside hydrolase 9A1	Biological Process: carbohydrate metabolic process (GO:0005975), Molecular Function: catalytic activity (GO:0003824), Molecular Function: hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)	Glycoside hydrolase, family 9 (IPR001701), Six-hairpin glycosidase-like (IPR008928), Six-hairpin glycosidase (IPR012341), Glycoside hydrolase, family 9, active site (IPR018221)	AK102748 (DDBJ, Best hit)	P0C1U4 (UniProt)			J033106K04	7277
Os03t0329700-01	Os03g0329700	Similar to predicted protein.							Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)	Protein kinase, catalytic domain (IPR000719), Serine-threonine/tyrosine-protein kinase (IPR001245), Serine/threonine-protein kinase, active site (IPR008271), Protein kinase-like domain (IPR011009), Protein kinase, ATP binding site (IPR017441)	AK242883 (DDBJ, Best hit)	Q10LZ2 (UniProt)			J090079D13	
Os03t0329900-01	Os03g0329900	MYB-CC family protein, Pi-starvation signaling	PHR1, OsPHR1	PHOSPHATE STARVATION RESPONSE 1, PHOSPHATE RESPONSE1	PHR1	PHOSPHATE STARVATION RESPONSE 1	OsPHR1	PHOSPHATE RESPONSE1	Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515)	Myb-like DNA-binding domain, SHAQKYF class (IPR006447), Homeodomain-like (IPR009057), Homeodomain-related (IPR012287), Myb, DNA-binding (IPR014778), Transcription regulator HTH, Myb-type, DNA-binding (IPR017930)	AK063486 (Genbank), AK109510 (Genbank)	Q10LZ1 (UniProt)	June 10, 2010	18263782	001-116-C05, 002-104-D09	9630
Os03t0330000-01	Os03g0330000	Glycosyl transferase, family 8 protein.			GAUT15	GALACTURONOSYLTRANSFERASE 15	OsGAUT15	galacturonosyltransferase 15	Molecular Function: transferase activity, transferring glycosyl groups (GO:0016757)	Glycosyl transferase, family 8 (IPR002495)	AK066736 (DDBJ, Best hit)	NP_001151802.1 (RefSeq)			J013088O16	23256
Os03t0330200-00	Os03g0330200	2, 3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1) (Phosphoglyceromutase) (BPG-independent PGAM) (PGAM-I).							Biological Process: glucose catabolic process (GO:0006007), Biological Process: metabolic process (GO:0008152), Cellular Component: cytoplasm (GO:0005737), Molecular Function: catalytic activity (GO:0003824), Molecular Function: phosphoglycerate mutase activity (GO:0004619), Molecular Function: manganese ion binding (GO:0030145), Molecular Function: metal ion binding (GO:0046872)	Phosphoglycerate mutase, 2, 3-bisphosphoglycerate-independent (IPR005995), Metalloenzyme (IPR006124), BPG-independent PGAM, N-terminal (IPR011258), Alkaline phosphatase-like, alpha/beta/alpha (IPR017849), Alkaline-phosphatase-like, core domain (IPR017850)	EU964077 (DDBJ)	P35493 (UniProt)				
Os03t0330300-01	Os03g0330300	Similar to cDNA clone:001-032-H02, full insert sequence (Fragment).									AK072405 (DDBJ, Best hit)	B7E5B1 (UniProt)			J023080M15	
Os03t0330300-02	Os03g0330300	Similar to cDNA clone:001-032-H02, full insert sequence (Fragment).									AK120161 (DDBJ, Best hit)	B7E5B1 (UniProt)			J013030P08	
Os03t0330300-03	Os03g0330300	Viral attachment protein, fibre shaft repeat containing protein.									AK060756 (DDBJ, Best hit)	B8ANY0 (UniProt)			001-032-H02	
Os03t0331600-01	Os03g0331600	Uncharacterised protein family Ycf54 domain containing protein.			LCAA	LOW CHLOROPHYLL ACCUMULATION A	OsLCAA	low chlorophyll accumulation A		Uncharacterised protein family Ycf54 (IPR019616)	AK063782 (DDBJ, Best hit)	Q10LX6 (UniProt)			001-121-D08	21325
Os03t0331600-02	Os03g0331600	Ycf54 domain-containing protein, Chlorophyll biosynthesis	CS3, OsLCAA	chlorotic seedling 3, low chlorophyll accumulation A	LCAA	LOW CHLOROPHYLL ACCUMULATION A	OsLCAA	low chlorophyll accumulation A		Ycf54-like superfamily (IPR038409), Uncharacterised protein family Ycf54 (IPR019616)	Inferred from literature	Q10LX6	May 29, 2019	31128680, 27514852	001-121-D08	21325
Os03t0331700-02	Os03g0331700	Similar to cDNA clone:002-120-A09, full insert sequence.			CML27	CALMODULIN-LIKE PROTEIN 27	OsCML27	calmodulin-like protein 27			AK109470 (DDBJ, Best hit), AK109541 (DDBJ, Best hit)	B7F2E8 (UniProt)			001-128-E03, 002-120-A09	10509
Os03t0331900-01	Os03g0331900	Yos1-like domain containing protein.								Yos1-like (IPR013880)	AK099570 (DDBJ, Best hit), AK063044 (DDBJ, Best hit)	A3AHL3 (UniProt)			J013034O05, 001-110-D09	
Os03t0332100-01	Os03g0332100	Gibberellin 13-oxidase, Cytochrome P450 714B2, Negative regulation of plant growth, GA homeostasis	CYP714B2	Cytochrome P450 714B2	CYP714B2	P-450 714B2	CYP714B2	Cytochrome P450 714B2	Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: iron ion binding (GO:0005506), Molecular Function: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705), Molecular Function: heme binding (GO:0020037)	Cytochrome P450 superfamily (IPR036396), Cytochrome P450 (IPR001128), Cytochrome P450, E-class, group I (IPR002401), Cytochrome P450, conserved site (IPR017972)	EU955833 (maize), Inferred from literature	Q0DS59	July 26, 2021	23319637		12264
Os03t0332201-00	Os03g0332201	Hypothetical gene.									CT835253 (DDBJ, Best hit)	longestORF				
Os03t0332400-01	Os03g0332400	Glyoxalase II (S-2-hydroxyacyl glutathione hydrolase), Salinity adaptation, Abiotic stress tolerance	GLYII-2, OsGLYII2, GLYII2, OsGLYII-2	GLYOXALASE II-2, glyoxalase II-2	GLYII-2	GLYOXALASE II-2	OsGLYII2, GLYII2, OsGLYII-2	glyoxalase II-2	Biological Process: glutathione biosynthetic process (GO:0006750), Molecular Function: hydroxyacylglutathione hydrolase activity (GO:0004416), Molecular Function: zinc ion binding (GO:0008270)	Hydroxyacylglutathione hydrolase (IPR017782), Beta-lactamase-like (IPR001279)	AK103161	Q10LW8	January 15, 2015	25039836	J033121D04	9363
Os03t0332500-00	Os03g0332500	Similar to QM protein.							Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)	Ribosomal protein L10e (IPR001197), Ribosomal protein L10e/L16 (IPR016180), Ribosomal protein L10e, conserved site (IPR018255)	AK375941 (DDBJ)	Q9FVN3 (UniProt)				
Os03t0332533-01	Os03g0332533	Similar to Plant acid phosphatase family protein, expressed.							Molecular Function: acid phosphatase activity (GO:0003993)	Acid phosphatase (Class B) (IPR005519), Acid phosphatase, plant (IPR010028), Vegetative storage protein/acid phosphatase (IPR014403), HAD-like domain (IPR023214)	AK243465 (DDBJ, Best hit)	Q10LW6 (UniProt)			J100071I16	
Os03t0332566-00	Os03g0332566	Hypothetical gene.									BT064591 (DDBJ)	longestORF				
Os03t0332600-01	Os03g0332600	Non-protein coding transcript.									AK058370 (DDBJ, Best hit)	NONE			001-014-G05	
Os03t0332700-01	Os03g0332700	Similar to ABC Transporter, ATP binding component.			ABCI3_1	ABC TRANSPORTER I FAMILY MEMBER 3_1	OsABCI3_1, OsABCI3_2, OsISC17	ABC transporter superfamily ABCI subgroup member 3_1, Iron-sulfur cluster protein 17	Biological Process: transport (GO:0006810), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATPase activity (GO:0016887), Molecular Function: nucleoside-triphosphatase activity (GO:0017111)	ABC transporter-like (IPR003439), ATPase, AAA+ type, core (IPR003593), ATPase SufC, SUF system FeS cluster assembly (IPR010230), ABC transporter, conserved site (IPR017871)	AK072820 (DDBJ, Best hit)	B4FT76 (UniProt)			J023135H16	12027
Os03t0332900-01	Os03g0332900	Protein kinase, core domain containing protein.							Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)	Protein kinase, catalytic domain (IPR000719), Leucine-rich repeat (IPR001611), Protein kinase-like domain (IPR011009), Leucine-rich repeat-containing N-terminal, type 2 (IPR013210), Protein kinase, ATP binding site (IPR017441), Serine/threonine-protein kinase-like domain (IPR017442)	AK103073 (DDBJ, Best hit)	C0LGW1 (UniProt)			J033118C07	
Os03t0333000-01	Os03g0333000	Conserved hypothetical protein.									AK109811 (DDBJ, Best hit)	A2XGC3 (UniProt)			002-147-G10	
Os03t0333050-00	Os03g0333050	Hypothetical gene.									AK251635 (DDBJ)	longestORF				
Os03t0333100-01	Os03g0333100	Protein of unknown function DUF663 domain containing protein.							Biological Process: ribosome biogenesis (GO:0042254), Cellular Component: nucleus (GO:0005634), Molecular Function: GTPase activity (GO:0003924), Molecular Function: GTP binding (GO:0005525)	Protein synthesis factor, GTP-binding (IPR000795), Ribosome biogenesis protein BMS1/TSR1, C-terminal (IPR007034), AARP2CN (IPR012948)	AK101050 (DDBJ, Best hit)	B9F8A6 (UniProt)			J033010C12	
Os03t0333100-02	Os03g0333100	Hypothetical conserved gene.							Biological Process: ribosome biogenesis (GO:0042254), Cellular Component: nucleus (GO:0005634)	AARP2CN (IPR012948)	AK060242 (DDBJ, Best hit)	B9F8A6 (UniProt)			001-003-F10	
Os03t0333200-01	Os03g0333200	Receptor-like kinase, Control of reproductive growth and development, Repression of cell death	DRUS1, OsCrRLK1L8, CrRLK1L8, FLR1	DWARF AND RUNTISH SPIKELET1, Catharanthus roseus receptor-like kinase1-like kinase 8, FERONIA-Like Receptor kinase 1	DRUS1	DWARF AND RUNTISH SPIKELET1	OsCrRLK1L8, CrRLK1L8, FLR1	Catharanthus roseus receptor-like kinase1-like kinase 8, FERONIA-Like Receptor kinase 1, DWARF AND RUNTISH SPIKELET 1	Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: ATP binding (GO:0005524)	Malectin-like carbohydrate-binding domain (IPR024788), Concanavalin A-like lectin/glucanase domain (IPR013320), Protein kinase-like domain (IPR011009), Protein kinase domain (IPR000719), Serine-threonine/tyrosine-protein kinase catalytic domain (IPR001245), Protein kinase, ATP binding site (IPR017441), Serine/threonine-protein kinase, active site (IPR008271)	AK099791	Q10LW0	February 16, 2017	28082384	J013097C16	18677
Os03t0333300-01	Os03g0333300	Similar to Eukaryotic translation initiation factor 2 beta subunit (eIF-2-beta) (P38).							Biological Process: translational initiation (GO:0006413), Molecular Function: translation initiation factor activity (GO:0003743)	Translation initiation factor IF2/IF5 (IPR002735), Translation initiation factor IF2/IF5, N-terminal (IPR016189), Translation initiation factor IF2/IF5, zinc-binding (IPR016190)	AK073228 (DDBJ, Best hit)	NP_001148481.1 (RefSeq)			J033023N08	
Os03t0333300-02	Os03g0333300	Similar to eukaryotic translation initiation factor 2 beta subunit.									AK072674 (DDBJ, Best hit)	NP_001148481.1 (RefSeq)			J023134J17	
Os03t0333300-03	Os03g0333300	Similar to eukaryotic translation initiation factor 2 beta subunit.									AK063858 (DDBJ, Best hit)	NP_001148481.1 (RefSeq)			001-122-D07	
Os03t0333400-01	Os03g0333400	Similar to photosystem II 11 kD protein.			PSB27		Psb27, OsPSB27	photosystem II subunit Psb27			AK120545 (DDBJ, Best hit)	NP_001148428.1 (RefSeq)			J013129J23	22688
Os03t0333500-00	Os03g0333500	Similar to Serine/threonine-protein kinase AtPK19.									AK372900 (DDBJ)	B6SWM7 (UniProt)				
Os03t0333601-00	Os03g0333601	Non-protein coding transcript.									CT834433 (DDBJ, Secondary hit)	NONE				
Os03t0333700-01	Os03g0333700	Conserved hypothetical protein.									AK071170 (DDBJ, Best hit)	Q10LV4 (UniProt)			J023080J08	
Os03t0333800-01	Os03g0333800	Protein of unknown function DUF1618 domain containing protein.								Domain of unknown function DUF1618 (IPR011676)	AK066413 (DDBJ, Best hit)	B9F8A9 (UniProt)			J013065M24	
Os03t0334000-02	Os03g0334000	Similar to Ribosomal protein S6 kinase.			S6K1	RIBOSOMAL PROTEIN S6 KINASE 1	OsS6K1	ribosomal protein S6 kinase 1			AK072649 (DDBJ, Best hit), AK242758 (DDBJ, Best hit), AK288923 (DDBJ, Best hit)	B6SWM7 (UniProt)			J023131A03, J090051H03, J090081P06	23958
Os03t0334050-00	Os03g0334050	Hypothetical protein.									tplb0047b06 (Wheat FLcDNA)	longestORF				
Os03t0334100-01	Os03g0334100	PRC-barrel-like domain containing protein.								PRC-barrel-like (IPR011033)	AK120587 (DDBJ, Best hit)	Q10LV0 (UniProt)			J013145A09	
Os03t0334200-01	Os03g0334200	Protein of unknown function DUF3133 domain containing protein.								Protein of unknown function DUF3133 (IPR021480)	AK120329 (DDBJ, Best hit)	B8ANZ5 (UniProt)			J013058K09	
Os03t0334200-02	Os03g0334200	Protein of unknown function DUF3133 domain containing protein.								Protein of unknown function DUF3133 (IPR021480)	AK066472 (DDBJ, Best hit)	B8ANZ5 (UniProt)			J013066N20	
Os03t0334250-00	Os03g0334250	Hypothetical protein.									tplb0042f18 (Wheat FLcDNA)	longestORF				
Os03t0334300-00	Os03g0334300	Similar to predicted protein.									EU941030 (DDBJ)	Q10LU6 (UniProt)				
